	Vintage	Plant_part	Replicate	Geographic_Location	Cultivar_Terroir	Cultivar	Terroir_Unit
Fungi_D52K.23	Vintage_2023	Fruit	No.4	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D53K.23	Vintage_2023	Fruit	No.5	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D54K.23	Vintage_2023	Fruit	No.6	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D55K.23	Vintage_2023	Fruit	No.7	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D56K.23	Vintage_2023	Fruit	No.8	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D57K.23	Vintage_2023	Fruit	No.1	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D58K.23	Vintage_2023	Fruit	No.2	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D59K.23	Vintage_2023	Fruit	No.3	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D5K.23	Vintage_2023	Fruit	No.5	Adriani	MeAd	Merlot	No.6
Fungi_D60K.23	Vintage_2023	Fruit	No.4	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D61K.23	Vintage_2023	Fruit	No.5	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D62K.23	Vintage_2023	Fruit	No.6	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D63K.23	Vintage_2023	Fruit	No.7	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D64K.23	Vintage_2023	Fruit	No.8	Mikrochori	AgMi	Agiorgitiko	No.6
Fungi_D65K.23	Vintage_2023	Fruit	No.1	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D66K.23	Vintage_2023	Fruit	No.2	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D67K.23	Vintage_2023	Fruit	No.3	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D68K.23	Vintage_2023	Fruit	No.4	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D69K.23	Vintage_2023	Fruit	No.5	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D6K.23	Vintage_2023	Fruit	No.6	Adriani	MeAd	Merlot	No.6
Fungi_D70K.23	Vintage_2023	Fruit	No.6	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D71K.23	Vintage_2023	Fruit	No.7	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D72K.23	Vintage_2023	Fruit	No.8	Perichora	AgPe	Agiorgitiko	Νο.5
Fungi_D73K.23	Vintage_2023	Fruit	No.1	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D74K.23	Vintage_2023	Fruit	No.2	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D75K.23	Vintage_2023	Fruit	No.3	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D76K.23	Vintage_2023	Fruit	No.4	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D77K.23	Vintage_2023	Fruit	No.5	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D78K.23	Vintage_2023	Fruit	No.6	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D79K.23	Vintage_2023	Fruit	No.7	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D7K.23	Vintage_2023	Fruit	No.7	Adriani	MeAd	Merlot	No.6
Fungi_D80K.23	Vintage_2023	Fruit	No.8	Kali_Vrisi	AgKv	Agiorgitiko	No.4
Fungi_D8K.23	Vintage_2023	Fruit	No.8	Adriani	MeAd	Merlot	No.6
Fungi_D9K.23	Vintage_2023	Fruit	No.1	Kali_Vrisi	CsKv	Cabernet_Sauvignon	No.4
